job_id,external_job_id,company,title,location,canonical_url,department,source_key,retrieved_at
anthropic:5195866008,5195866008,Anthropic,"Product Management, Human Data Platform","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5195866008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5123082008,5123082008,Anthropic,"Product Management, Research","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5123082008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5407337008,5407337008,Anthropic,"Product Manager, Beneficial Deployments (Labs)","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5407337008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5397737008,5397737008,Anthropic,"Product Manager, Business Technology","Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5397737008,Security,anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5394887008,5394887008,Anthropic,"Product Manager, Claude Science","San Francisco, CA | New York City, NY | Seattle, WA",https://job-boards.greenhouse.io/anthropic/jobs/5394887008,AI Research & Engineering,anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5251866008,5251866008,Anthropic,"Product Manager, Claude Tag","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5251866008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5393526008,5393526008,Anthropic,"Product Manager, Cybersecurity","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5393526008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5406106008,5406106008,Anthropic,"Product Manager, Growth","San Francisco, CA | New York City, NY | Seattle, WA",https://job-boards.greenhouse.io/anthropic/jobs/5406106008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5153924008,5153924008,Anthropic,"Product Manager, Multi-Cloud Growth - Google","San Francisco, CA",https://job-boards.greenhouse.io/anthropic/jobs/5153924008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5409934008,5409934008,Anthropic,"Product Manager, Multi-Cloud Trust & Safety","San Francisco, CA | New York City, NY | Seattle, WA",https://job-boards.greenhouse.io/anthropic/jobs/5409934008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5386182008,5386182008,Anthropic,"Product Manager, New Markets and Monetization","San Francisco, CA",https://job-boards.greenhouse.io/anthropic/jobs/5386182008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5393452008,5393452008,Anthropic,"Product Manager, Public Sector","Remote-Friendly (Travel-Required) | Washington, DC",https://job-boards.greenhouse.io/anthropic/jobs/5393452008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5324349008,5324349008,Anthropic,"Product Manager, Research (Code)","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5324349008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5428898008,5428898008,Anthropic,"Product Manager, Safe Access","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5428898008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5413576008,5413576008,Anthropic,"Product Manager, Safeguards (Account Integrity & Abuse)","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5413576008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5097490008,5097490008,Anthropic,"Product Manager, Safeguards (Cyber)","San Francisco, CA",https://job-boards.greenhouse.io/anthropic/jobs/5097490008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5400720008,5400720008,Anthropic,"Product Manager, Safeguards (Generalist)","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5400720008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5139628008,5139628008,Anthropic,"Product Manager, Safeguards Rare Harms","San Francisco, CA",https://job-boards.greenhouse.io/anthropic/jobs/5139628008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
anthropic:5096878008,5096878008,Anthropic,"Research Product Manager, Labs","San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5096878008,"Product Management, Support, & Operations",anthropic,2026-09-22T08:13:37.080614+00:00
